s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0300,0.1800,0.000000,1.011903,1.012939,1.000000,1.033293,0.987357,1.019843
0.0300,0.1900,0.000000,1.012450,1.013544,1.000000,1.034400,0.987955,1.020367
0.0300,0.2000,0.000000,1.013002,1.014156,1.000000,1.035520,0.988602,1.020899
0.0300,0.2100,0.000000,1.012311,1.013449,1.000000,1.033882,0.987208,1.019963
0.0300,0.2200,0.000000,1.012848,1.014046,1.000000,1.034962,0.987870,1.020473
0.0300,0.2300,0.000000,1.013386,1.014648,1.000000,1.036075,0.988547,1.021013
0.0300,0.2400,0.000000,1.012609,1.013861,1.000000,1.034281,0.986710,1.019987
0.0300,0.2500,0.000000,1.013032,1.014343,1.000000,1.035107,0.987164,1.020359
0.0300,0.2600,0.000000,1.013375,1.014748,1.000000,1.035788,0.987400,1.020662
0.0300,0.2700,0.000000,1.013778,1.015218,1.000000,1.036608,0.987763,1.021042
0.0300,0.2800,0.000000,1.014179,1.015690,1.000000,1.037442,0.988168,1.021441
0.0300,0.2900,0.000000,1.014503,1.016085,1.000000,1.038102,0.988335,1.021736
0.0300,0.3000,0.000000,1.014719,1.016370,1.000000,1.038532,0.988258,1.021910
0.0300,0.3100,0.000000,1.014921,1.016621,1.000000,1.038853,0.988570,1.022022
0.0300,0.3200,0.000000,1.015018,1.016780,1.000000,1.039022,0.988337,1.022059
0.0300,0.3300,0.000000,1.015194,1.017024,1.000000,1.039348,0.988343,1.022177
0.0300,0.3400,0.000000,1.015341,1.017245,1.000000,1.039651,0.988191,1.022289
0.0300,0.3500,0.000000,1.015312,1.017280,1.000000,1.039542,0.987699,1.022170
0.0300,0.3600,0.000000,1.016471,1.018766,1.000000,1.042471,0.985943,1.023588
0.0300,0.3700,0.000000,1.016465,1.018833,1.000000,1.042397,0.985606,1.023482
0.0300,0.3800,0.000000,1.016294,1.018565,1.000000,1.041683,0.988357,1.023196
0.0300,0.3900,0.000000,1.017304,1.019928,1.000000,1.044297,0.986367,1.024431
0.0300,0.4000,0.000000,1.017121,1.019812,1.000000,1.043819,0.985716,1.024098
0.0300,0.4100,0.000000,1.032807,1.035459,1.000000,1.080324,1.026815,1.046546
0.0300,0.4200,0.000000,1.033041,1.035838,1.000000,1.081001,1.027146,1.047023
0.0300,0.4300,0.000000,1.029518,1.032065,1.000000,1.072169,1.024134,1.042052
0.0300,0.4400,0.000000,1.024605,1.026683,1.000000,1.059808,1.019847,1.034916
0.0300,0.4500,0.000000,1.021861,1.023737,1.000000,1.053024,1.017565,1.031012
0.0300,0.4600,0.000000,1.020027,1.021618,1.000000,1.048125,1.015754,1.027955
0.0300,0.4700,0.000000,1.018633,1.020176,1.000000,1.044772,1.014684,1.026055
