s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0200,0.1500,0.000000,1.399044,0.759700,1.000000,0.089141,0.000000,0.000000
0.0200,0.1600,0.000000,1.405859,0.758008,1.000000,0.085173,0.000000,0.000000
0.0200,0.1700,0.000000,1.395008,0.763127,1.000000,0.086543,0.000000,0.000000
0.0200,0.1800,0.000000,1.399772,0.762494,1.000000,0.082951,0.000000,0.000000
0.0200,0.1900,0.000000,1.404074,0.761978,1.000000,0.079421,0.000000,0.000000
0.0200,0.2000,0.000000,1.389714,0.768573,1.000000,0.081206,0.000000,0.000000
0.0200,0.2100,0.000000,1.391364,0.769253,1.000000,0.078077,0.000000,0.000000
0.0200,0.2200,0.000000,1.392576,0.770159,1.000000,0.074971,0.000000,0.000000
0.0200,0.2300,0.000000,1.392956,0.771452,1.000000,0.071963,0.000000,0.000000
0.0200,0.2400,0.000000,1.376092,0.779040,1.000000,0.073428,0.000000,0.000000
0.0200,0.2500,0.000000,1.372050,0.782281,1.000000,0.071079,0.000000,0.000000
0.0200,0.2600,0.000000,1.348576,0.797763,1.000000,0.062819,0.000000,0.000000
0.0200,0.2700,0.000000,1.362509,0.789424,1.000000,0.066363,0.000000,0.000000
0.0200,0.2800,0.000000,1.356232,0.793702,1.000000,0.064062,0.000000,0.000000
0.0200,0.2900,0.000000,1.348141,0.798715,1.000000,0.062072,0.000000,0.000000
0.0200,0.3000,0.000000,1.336321,0.805038,1.000000,0.060773,0.000000,0.000000
0.0200,0.3100,0.000000,1.324986,0.811534,1.000000,0.059236,0.000000,0.000000
0.0200,0.3200,0.000000,1.310941,0.819121,1.000000,0.058096,0.000000,0.000000
0.0200,0.3300,0.000000,1.297620,0.826460,1.000000,0.056711,0.000000,0.000000
0.0200,0.3400,0.000000,1.282155,0.834674,1.000000,0.055480,0.000000,0.000000
0.0200,0.3500,0.000000,1.264303,0.844004,1.000000,0.054692,0.000004,0.000000
0.0200,0.3600,0.000000,1.256999,0.849266,1.000000,0.051098,0.000000,0.000000
0.0200,0.3700,0.000000,1.229916,0.862422,1.000000,0.050690,0.000000,0.000000
0.0200,0.3800,0.000000,1.207422,0.874212,1.000000,0.050341,0.000000,0.000000
0.0200,0.3900,0.000000,1.193913,0.882010,1.000000,0.047572,0.000000,0.000000
0.0200,0.4000,0.000000,1.169285,0.894647,1.000000,0.047253,0.000000,0.000000
0.0200,0.4100,0.000000,1.150844,0.904574,1.000000,0.045174,0.000000,0.000000
0.0200,0.4200,0.000000,1.159620,0.901074,1.000000,0.044379,0.000000,0.000000
0.0200,0.4300,0.000000,1.174034,0.894769,1.000000,0.043751,0.000000,0.000000
0.0200,0.4400,0.000000,1.175571,0.893873,1.000000,0.045592,0.000000,0.000000
0.0200,0.4500,0.000000,1.184321,0.890226,1.000000,0.045320,0.000000,0.000000
0.0200,0.4600,0.000000,1.189316,0.888144,1.000000,0.045472,0.000000,0.000000
0.0200,0.4700,0.000000,1.199594,0.884284,1.000000,0.043845,0.000000,0.000000
0.0200,0.4800,0.000000,1.200003,0.884524,1.000000,0.044249,0.000000,0.000000
0.0200,0.4900,0.000000,1.195964,0.886573,1.000000,0.045214,0.000000,0.000000
0.0200,0.5000,0.000000,1.218147,0.874869,1.000000,0.048517,0.000004,0.000000
0.0300,0.0000,0.000000,1.467468,0.722418,1.000000,0.096735,0.000000,0.000000
0.0300,0.0100,0.000000,1.467427,0.722240,1.000000,0.097234,0.000000,0.000000
0.0300,0.0200,0.000000,1.468955,0.719449,1.000000,0.101140,0.000001,0.000000
0.0300,0.0300,0.000000,1.480882,0.717218,1.000000,0.093661,0.000000,0.000000
